,Monthly Nominal GDP Index,Monthly Real GDP Index,,
1992 - Jan,6310.177,10168.501,,
1992 - Feb,6352.475,10216.039,,
1992 - Mar,6426.654,10322.895,,
1992 - Apr,6443.695,10314.600,,
1992 - May,6429.302,10285.878,,
1992 - Jun,6539.291,10439.864,,
1992 - Jul,6558.363,10452.602,,
1992 - Aug,6553.782,10425.771,,
1992 - Sep,6587.777,10468.734,,
1992 - Oct,6637.683,10525.141,,
1992 - Nov,6676.680,10549.406,,
1992 - Dec,6728.046,10599.354,,
1993 - Jan,6705.789,10558.136,,
1993 - Feb,6738.170,10588.900,,
1993 - Mar,6744.418,10579.739,,
1993 - Apr,6766.202,10593.214,,
1993 - May,6816.967,10647.506,,
1993 - Jun,6843.649,10670.726,,
1993 - Jul,6833.244,10632.120,,
1993 - Aug,6874.672,10675.402,,
1993 - Sep,6938.377,10756.166,,
1993 - Oct,6942.107,10749.053,,
1993 - Nov,7036.697,10861.333,,
1993 - Dec,7062.409,10889.467,,
1994 - Jan,7069.266,10878.234,,
1994 - Feb,7118.611,10940.741,,
1994 - Mar,7159.079,10996.286,,
1994 - Apr,7182.151,11011.933,,
1994 - May,7286.198,11121.520,,
1994 - Jun,7272.444,11126.447,,
1994 - Jul,7296.185,11113.267,,
1994 - Aug,7352.250,11194.061,,
1994 - Sep,7344.790,11147.141,,
1994 - Oct,7431.551,11250.264,,
1994 - Nov,7431.018,11238.164,,
1994 - Dec,7503.295,11349.801,,
1995 - Jan,7535.368,11345.980,,
1995 - Feb,7478.544,11257.031,,
1995 - Mar,7552.955,11355.763,,
1995 - Apr,7534.625,11290.247,,
1995 - May,7560.376,11326.782,,
1995 - Jun,7647.991,11443.592,,
1995 - Jul,7628.952,11377.540,,
1995 - Aug,7677.222,11445.895,,
1995 - Sep,7743.201,11527.125,,
1995 - Oct,7754.528,11491.271,,
1995 - Nov,7746.173,11496.519,,
1995 - Dec,7817.057,11596.754,,
1996 - Jan,7836.011,11577.986,,
1996 - Feb,7847.264,11591.410,,
1996 - Mar,7922.129,11675.170,,
1996 - Apr,8026.010,11819.556,,
1996 - May,8008.354,11775.586,,
1996 - Jun,8064.157,11830.735,,
1996 - Jul,8107.729,11888.538,,
1996 - Aug,8116.232,11899.518,,
1996 - Sep,8170.263,11955.227,,
1996 - Oct,8260.301,12052.991,,
1996 - Nov,8272.200,12047.678,,
1996 - Dec,8246.812,12013.816,,
1997 - Jan,8309.874,12086.684,,
1997 - Feb,8387.078,12172.734,,
1997 - Mar,8391.012,12088.206,,
1997 - Apr,8509.644,12357.433,,
1997 - May,8478.819,12244.133,,
1997 - Jun,8568.013,12351.328,,
1997 - Jul,8621.272,12451.021,,
1997 - Aug,8655.045,12481.092,,
1997 - Sep,8712.152,12482.192,,
1997 - Oct,8748.009,12562.738,,
1997 - Nov,8737.164,12536.978,,
1997 - Dec,8812.547,12634.024,,
1998 - Jan,8770.136,12567.481,,
1998 - Feb,8896.288,12756.193,,
1998 - Mar,8933.016,12788.736,,
1998 - Apr,8926.116,12762.453,,
1998 - May,8953.519,12795.579,,
1998 - Jun,9029.462,12906.931,,
1998 - Jul,9050.779,12881.219,,
1998 - Aug,9099.745,12946.396,,
1998 - Sep,9212.766,13121.352,,
1998 - Oct,9264.281,13162.216,,
1998 - Nov,9306.272,13217.707,,
1998 - Dec,9311.420,13195.750,,
1999 - Jan,9358.645,13224.971,,
1999 - Feb,9410.556,13326.929,,
1999 - Mar,9465.845,13395.595,,
1999 - Apr,9494.983,13394.932,,
1999 - May,9538.193,13444.796,,
1999 - Jun,9545.454,13441.325,,
1999 - Jul,9662.578,13567.257,,
1999 - Aug,9662.805,13604.740,,
1999 - Sep,9734.495,13643.081,,
1999 - Oct,9822.696,13724.798,,
1999 - Nov,9888.481,13808.842,,
1999 - Dec,9989.330,13950.727,,
2000 - Jan,9924.983,13813.417,,
2000 - Feb,9994.171,13869.866,,
2000 - Mar,10087.383,13951.688,,
2000 - Apr,10225.671,14134.380,,
2000 - May,10233.223,14115.188,,
2000 - Jun,10284.266,14143.571,,
2000 - Jul,10235.612,14058.686,,
2000 - Aug,10336.169,14171.593,,
2000 - Sep,10382.714,14205.987,,
2000 - Oct,10435.278,14247.349,,
2000 - Nov,10445.748,14232.977,,
2000 - Dec,10426.206,14209.984,,
2001 - Jan,10468.697,14215.847,,
2001 - Feb,10462.975,14185.233,,
2001 - Mar,10479.021,14149.783,,
2001 - Apr,10566.016,14260.772,,
2001 - May,10639.117,14326.830,,
2001 - Jun,10591.867,14229.112,,
2001 - Jul,10585.357,14183.695,,
2001 - Aug,10698.963,14346.902,,
2001 - Sep,10509.739,14114.484,,
2001 - Oct,10640.838,14236.549,,
2001 - Nov,10588.647,14160.699,,
2001 - Dec,10751.910,14365.303,,
2002 - Jan,10785.810,14407.245,,
2002 - Feb,10749.045,14322.932,,
2002 - Mar,10815.645,14390.073,,
2002 - Apr,10857.740,14443.919,,
2002 - May,10870.099,14442.569,,
2002 - Jun,10934.540,14497.925,,
2002 - Jul,11001.579,14574.958,,
2002 - Aug,10952.726,14491.983,,
2002 - Sep,10997.815,14493.583,,
2002 - Oct,10998.577,14480.415,,
2002 - Nov,11052.395,14522.589,,
2002 - Dec,11133.327,14611.124,,
2003 - Jan,11135.227,14595.148,,
2003 - Feb,11210.937,14653.222,,
2003 - Mar,11176.224,14595.655,,
2003 - Apr,11258.357,14675.298,,
2003 - May,11275.195,14690.151,,
2003 - Jun,11404.746,14867.225,,
2003 - Jul,11469.354,14911.263,,
2003 - Aug,11565.766,14983.030,,
2003 - Sep,11664.888,15074.102,,
2003 - Oct,11700.069,15093.510,,
2003 - Nov,11785.662,15181.402,,
2003 - Dec,11830.971,15215.363,,
2004 - Jan,11805.753,15134.075,,
2004 - Feb,11927.324,15259.487,,
2004 - Mar,12037.264,15354.482,,
2004 - Apr,12036.027,15311.175,,
2004 - May,12175.017,15445.536,,
2004 - Jun,12127.401,15345.931,,
2004 - Jul,12279.912,15483.890,,
2004 - Aug,12301.541,15521.945,,
2004 - Sep,12334.468,15534.149,,
2004 - Oct,12471.117,15653.017,,
2004 - Nov,12514.997,15649.718,,
2004 - Dec,12595.529,15712.031,,
2005 - Jan,12747.841,15854.630,,
2005 - Feb,12752.022,15827.262,,
2005 - Mar,12801.995,15854.450,,
2005 - Apr,12858.872,15896.004,,
2005 - May,12882.013,15863.517,,
2005 - Jun,13027.083,16010.885,,
2005 - Jul,13095.800,16037.094,,
2005 - Aug,13152.633,16077.447,,
2005 - Sep,13179.494,16030.324,,
2005 - Oct,13235.100,16063.960,,
2005 - Nov,13299.869,16112.449,,
2005 - Dec,13437.643,16235.864,,
2006 - Jan,13517.389,16315.315,,
2006 - Feb,13569.528,16308.004,,
2006 - Mar,13710.562,16440.207,,
2006 - Apr,13696.429,16371.793,,
2006 - May,13781.571,16415.661,,
2006 - Jun,13782.272,16403.137,,
2006 - Jul,13792.923,16367.841,,
2006 - Aug,13884.273,16420.387,,
2006 - Sep,13933.368,16476.236,,
2006 - Oct,13966.378,16488.710,,
2006 - Nov,14060.042,16601.533,,
2006 - Dec,14092.260,16597.624,,
2007 - Jan,14135.652,16580.272,,
2007 - Feb,14289.292,16684.091,,
2007 - Mar,14222.009,16572.860,,
2007 - Apr,14360.854,16709.218,,
2007 - May,14402.474,16703.464,,
2007 - Jun,14442.919,16729.150,,
2007 - Jul,14426.553,16673.987,,
2007 - Aug,14597.923,16863.555,,
2007 - Sep,14667.875,16893.013,,
2007 - Oct,14661.457,16875.521,,
2007 - Nov,14717.219,16900.466,,
2007 - Dec,14766.498,16971.347,,
2008 - Jan,14805.775,16995.282,,
2008 - Feb,14626.463,16752.670,,
2008 - Mar,14687.376,16783.027,,
2008 - Apr,14752.826,16841.218,,
2008 - May,14802.342,16891.129,,
2008 - Jun,15041.934,17098.875,,
2008 - Jul,14969.483,16968.717,,
2008 - Aug,14923.141,16898.152,,
2008 - Sep,14804.373,16697.461,,
2008 - Oct,14696.006,16568.152,,
2008 - Nov,14697.843,16584.719,,
2008 - Dec,14430.779,16304.247,,
2009 - Jan,14478.734,16347.806,,
2009 - Feb,14444.517,16291.886,,
2009 - Mar,14369.455,16255.840,,
2009 - Apr,14360.619,16254.220,,
2009 - May,14374.205,16274.638,,
2009 - Jun,14408.884,16279.172,,
2009 - Jul,14379.133,16264.827,,
2009 - Aug,14478.275,16346.728,,
2009 - Sep,14489.238,16368.003,,
2009 - Oct,14692.163,16568.638,,
2009 - Nov,14668.466,16516.231,,
2009 - Dec,14593.118,16424.107,,
2010 - Jan,14706.865,16525.650,,
2010 - Feb,14736.861,16562.668,,
2010 - Mar,14850.104,16660.220,,
2010 - Apr,14946.408,16725.546,,
2010 - May,14955.888,16713.597,,
2010 - Jun,15038.283,16790.941,,
2010 - Jul,15115.403,16870.109,,
2010 - Aug,15103.135,16829.077,,
2010 - Sep,15206.283,16918.166,,
2010 - Oct,15278.940,16955.981,,
2010 - Nov,15264.878,16904.754,,
2010 - Dec,15384.605,17022.500,,
2011 - Jan,15255.643,16862.691,,
2011 - Feb,15283.559,16841.875,,
2011 - Mar,15515.142,17057.893,,
2011 - Apr,15583.861,17096.826,,
2011 - May,15567.162,17037.805,,
2011 - Jun,15521.593,16971.382,,
2011 - Jul,15622.128,17031.996,,
2011 - Aug,15720.848,17102.220,,
2011 - Sep,15600.064,16960.404,,
2011 - Oct,15851.337,17249.364,,
2011 - Nov,15842.281,17209.130,,
2011 - Dec,15833.159,17210.023,,
2012 - Jan,15934.129,17263.343,,
2012 - Feb,16213.888,17513.307,,
2012 - Mar,16058.398,17324.931,,
2012 - Apr,16178.083,17411.181,,
2012 - May,16227.260,17479.362,,
2012 - Jun,16216.002,17443.626,,
2012 - Jul,16323.976,17522.756,,
2012 - Aug,16277.611,17418.508,,
2012 - Sep,16357.036,17468.322,,
2012 - Oct,16343.603,17414.472,,
2012 - Nov,16410.075,17490.278,,
2012 - Dec,16507.579,17565.493,,
2013 - Jan,16684.334,17726.107,,
2013 - Feb,16602.485,17600.899,,
2013 - Mar,16657.747,17660.837,,
2013 - Apr,16674.584,17690.603,,
2013 - May,16672.356,17657.674,,
2013 - Jun,16839.121,17781.329,,
2013 - Jul,16874.445,17796.123,,
2013 - Aug,16988.708,17896.971,,
2013 - Sep,16998.362,17888.845,,
2013 - Oct,17113.700,17981.197,,
2013 - Nov,17222.594,18055.662,,
2013 - Dec,17239.762,18012.097,,
2014 - Jan,17122.844,17884.236,,
2014 - Feb,17219.868,17991.354,,
2014 - Mar,17250.501,17986.832,,
2014 - Apr,17404.825,18109.743,,
2014 - May,17542.650,18199.906,,
2014 - Jun,17608.048,18248.592,,
2014 - Jul,17756.953,18371.523,,
2014 - Aug,17860.440,18466.107,,
2014 - Sep,17795.290,18383.755,,
2014 - Oct,17902.600,18491.471,,
2014 - Nov,17918.288,18501.295,,
2014 - Dec,17915.349,18507.826,,
2015 - Jan,18001.879,18651.147,,
2015 - Feb,18125.094,18732.176,,
2015 - Mar,18063.614,18616.974,,
2015 - Apr,18242.012,18783.424,,
2015 - May,18257.717,18750.092,,
2015 - Jun,18339.623,18813.536,,
2015 - Jul,18370.492,18823.046,,
2015 - Aug,18376.259,18827.790,,
2015 - Sep,18458.126,18921.732,,
2015 - Oct,18468.413,18916.503,,
2015 - Nov,18389.433,18839.265,,
2015 - Dec,18447.565,18921.071,,
2016 - Jan,18494.787,18980.562,,
2016 - Feb,18466.979,18956.248,,
2016 - Mar,18616.034,19068.556,,
2016 - Apr,18690.976,19078.073,,
2016 - May,18695.624,19050.412,,
2016 - Jun,18748.506,19059.858,,
2016 - Jul,18794.559,19115.357,,
2016 - Aug,18879.504,19193.584,,
2016 - Sep,19003.854,19284.905,,
2016 - Oct,18982.290,19217.867,,
2016 - Nov,19104.999,19331.302,,
2016 - Dec,19180.848,19363.905,,
2017 - Jan,19221.300,19348.884,,
2017 - Feb,19261.729,19374.895,,
2017 - Mar,19357.223,19471.293,,
2017 - Apr,19323.238,19396.721,,
2017 - May,19439.087,19514.820,,
2017 - Jun,19553.604,19609.347,,
2017 - Jul,19583.737,19604.094,,
2017 - Aug,19662.076,19634.368,,
2017 - Sep,19831.972,19743.811,,
2017 - Oct,19880.078,19758.118,,
2017 - Nov,20068.420,19912.885,,
2017 - Dec,20162.766,19975.990,,
2018 - Jan,20256.839,20006.955,,
2018 - Feb,20380.105,20092.365,,
2018 - Mar,20348.715,20032.883,,
2018 - Apr ,20470.080,20086.373,,
2018 - May,20621.613,20183.665,,
2018 - Jun,20651.043,20181.401,,
2018 - Jul,20752.165,20258.810,,
2018 - Aug,20813.610,20294.309,,
2018 - Sep,20830.415,20275.376,,
2018 - Oct,20888.448,20281.996,,
2018 - Nov,20912.735,20302.753,,
2018 - Dec,20952.418,20329.898,,
2019 - Jan,21088.330,20443.433,,
2019 - Feb,21077.084,20392.295,,
2019 - Mar,21169.386,20459.239,,
2019 - Apr,21310.755,20529.329,,
2019 - May,21370.181,20575.420,,
2019 - Jun,21512.878,20702.134,,
2019 - Jul,21679.507,20812.655,,
2019 - Aug,21711.139,20839.626,,
2019 - Sep,21760.867,20877.711,,
2019 - Oct,21805.508,20898.745,,
2019 - Nov,21969.708,21027.912,,
2019 - Dec,22024.436,21029.907,,
2020 - Jan,22080.473,21015.066,,
2020 - Feb,22118.277,21056.486,,
2020 - Mar,21054.964,20057.027,,
2020 - Apr,19029.574,18247.627,,
2020 - May,19899.324,19040.698,,
2020 - Jun,20945.975,19948.136,,
2020 - Jul,21488.693,20381.908,,
2020 - Aug,21678.559,20534.252,,
2020 - Sep,21946.059,20764.701,,
2020 - Oct,22100.973,20869.256,,
2020 - Nov,21956.849,20684.175,,
2020 - Dec,22203.658,20826.068,,
2021 - Jan,22616.345,21108.713,,
2021 - Feb,22403.608,20834.907,,
2021 - Mar,23022.125,21306.906,,
2021 - Apr,23239.358,21409.389,,
2021 - May,23426.277,21442.353,,
2021 - June,23612.094,21474.977,,
2021 - July,23838.589,21578.837,,
2021 - Aug,23957.814,21579.749,,
2021 - Sep,24150.734,21698.702,,
2021 - Oct,24622.871,21942.404,,
2021 - Nov,24755.501,21921.033,,
2021 - Dec,25062.428,22106.811,,
2022 - Jan,25023.932,21906.334,,
2022 - Feb,25158.327,21871.151,,
2022 - Mar,25568.782,22024.665,,
2022 - Apr,25647.190,21999.636,,
2022 - May,25853.471,21970.269,,
2022 - Jun,26083.215,21935.391,,
2022 - Jul,26142.899,22024.780,,
2022 - Aug,26434.947,22205.715,,
2022 - Sep,26431.065,22150.699,,
2022 - Oct,26690.554,22244.079,,
2022 - Nov,26823.961,22289.636,,
2022 - Dec,26797.027,22305.560,,
2023 - Jan,27121.786,22428.931,,
2023 - Feb,27147.761,22365.651,,
2023 - Mar,27379.787,22528.328,,
2023 - Apr,27436.346,22532.418,,
2023 - May,27493.932,22574.855,,
2023 - Jun,27659.887,22638.279,,
2023 - Jul,27840.183,22743.502,,
2023 - Aug,28112.929,22859.388,,
2023 - Sep,28271.426,22924.195,,
2023 - Oct,28203.368,22863.417,,
2023 - Nov,28375.241,22998.560,,
2023 - Dec,28695.558,23243.345,,
2024 - Jan,28411.864,22920.385,,
2024 - Feb,28818.615,23172.786,,
2024 - Mar,28894.004,23157.327,,
2024 - Apr,29046.566,23222.208,,
2024 - May,29171.371,23318.885,,
2024 - Jun,29223.194,23322.625,,
2024 - Jul,29496.732,23484.634,,
2024 - Aug,29503.565,23478.665,,
2024 - Sep,29534.694,23476.707,,
2024 - Oct,29768.802,23572.788,,
2024 - Nov,29867.410,23632.242,,
2024 - Dec,29839.334,23558.973,,
2025 - Jan,29970.579,23547.489,,
2025 - Feb,30020.287,23514.503,,
2025 - Mar,30134.856,23586.357,,
2025 - Apr,30386.637,23743.288,,
2025 - May,30330.566,23657.756,,
2025 - Jun,30741.162,23905.814,,
2025 - Jul,30840.893,23944.712,,
2025 - Aug,30920.357,23961.362,,
2025 - Sep,31042.698,23985.425,,
2025 - Oct,,,,
2025 - Nov,,,,
2025 -Dec,,,,
