indx,ppi,ip,ee,,,,,,,,,
8.213541616,4.809742352,4.680969441,11.88448902,,,,,,,,,
8.271663428,4.840242308,4.673087679,11.88379913,,,,,,,,,
8.22398119,4.846546506,4.644531274,11.8920466,,,,,,,,,
8.27399233,4.863680881,4.674288516,11.8913619,,,,,,,,,
8.367574228,4.899331225,4.639898129,11.89273083,,,,,,,,,
8.314337444,4.90897164,4.656840959,11.90361529,,,,,,,,,
8.330039177,4.889596966,4.627474583,11.90090526,,,,,,,,,
8.203681727,4.884315927,4.62409694,11.90226119,,,,,,,,,
8.207519057,4.875960391,4.614289479,11.8899911,,,,,,,,,
8.163285843,4.886582645,4.616340564,11.88379913,,,,,,,,,
8.192791808,4.903792198,4.60630654,11.86358234,,,,,,,,,
8.278288585,4.912654886,4.611448436,11.86990036,,,,,,,,,
8.23030547,4.930148043,4.578228496,11.85438524,,,,,,,,,
8.342365882,4.934473933,4.582906172,11.85438524,,,,,,,,,
8.355130628,4.935193099,4.583176079,11.86076146,,,,,,,,,
8.38017917,4.937347498,4.562616485,11.85367426,,,,,,,,,
8.40234335,4.939497266,4.531983174,11.85722414,,,,,,,,,
8.571823412,4.941642423,4.498914826,11.85225077,,,,,,,,,
8.562229653,4.925077406,4.669993979,11.84868316,,,,,,,,,
8.47945394,4.910446567,4.591255829,11.84581988,,,,,,,,,
8.442607567,4.891100725,4.610227377,11.84294838,,,,,,,,,
8.513779371,4.879006852,4.570169755,11.83428406,,,,,,,,,
8.485752059,4.887337078,4.568303899,11.81820185,,,,,,,,,
8.424321037,4.883559212,4.640878005,11.82407989,,,,,,,,,
8.441643873,4.875960391,4.619430029,11.82187967,,,,,,,,,
8.389389365,4.894101478,4.517793651,11.82992359,,,,,,,,,
8.506029104,4.94875989,4.552919591,11.82919499,,,,,,,,,
8.459845819,4.976043849,4.537438305,11.82114519,,,,,,,,,
8.411766007,4.97397131,4.523372105,11.8100627,,,,,,,,,
8.560511268,4.97397131,4.560547227,11.8070865,,,,,,,,,
8.394356407,4.984291319,4.487470522,11.79810441,,,,,,,,,
8.324219906,4.987707789,4.530258044,11.79358292,,,,,,,,,
8.26182599,4.953712147,4.477276585,11.79358292,,,,,,,,,
7.898771221,4.924350925,4.476295363,11.7905572,,,,,,,,,
7.332552315,4.877484781,4.420231207,11.76834258,,,,,,,,,
7.050937453,4.84103251,4.333609463,11.75508702,,,,,,,,,
7.323645853,4.762173935,4.300545393,11.71993963,,,,,,,,,
6.871754975,4.702296897,4.271231936,11.67589429,,,,,,,,,
6.527168132,4.672828834,4.126550344,11.66564655,,,,,,,,,
6.848642014,4.643428898,4.312371044,11.64920308,,,,,,,,,
7.102301805,4.653007515,4.291483574,11.6421978,,,,,,,,,
7.126248032,4.657762636,4.290922348,11.62981922,,,,,,,,,
7.17589514,4.681204872,4.327055533,11.62625415,,,,,,,,,
7.368970402,4.711330382,4.343192247,11.63867667,,,,,,,,,
7.289378413,4.763881877,4.320256279,11.63159699,,,,,,,,,
7.389514539,4.74927053,4.275078749,11.61818598,,,,,,,,,
7.362829264,4.75617306,4.419564442,11.61005218,,,,,,,,,
7.391156262,4.777441407,4.384821475,11.60914432,,,,,,,,,
7.657169365,4.817859279,4.443977436,11.60367983,,,,,,,,,
7.432803284,4.804021045,4.432155189,11.60459265,,,,,,,,,
7.43091453,4.80811103,4.464289568,11.61367537,,,,,,,,,
7.534639786,4.853591544,4.464799458,11.6127708,,,,,,,,,
7.42523273,4.837075243,4.514181455,11.61638417,,,,,,,,,
7.260986299,4.790819533,4.530577019,11.63425775,,,,,,,,,
7.154873136,4.773223771,4.420654624,11.63602766,,,,,,,,,
7.311886164,4.80073697,4.501104387,11.64307615,,,,,,,,,
7.21255992,4.81462041,4.538949184,11.6351431,,,,,,,,,
7.36473699,4.844974178,4.560653876,11.6351431,,,,,,,,,
7.424690203,4.874433673,4.552994397,11.63159699,,,,,,,,,
7.467668166,4.864452784,4.53087435,11.63337162,,,,,,,,,
7.614997654,4.884315927,4.55743057,11.63425775,,,,,,,,,
7.696103542,4.893352133,4.580027747,11.65094676,,,,,,,,,
7.638299395,4.914124394,4.606895696,11.66392834,,,,,,,,,
7.712094936,4.93878119,4.590726375,11.66048303,,,,,,,,,
7.705375081,4.95088529,4.615420472,11.67589429,,,,,,,,,
7.626448367,4.949468859,4.574461463,11.68939661,,,,,,,,,
7.647256325,4.94021283,4.56702897,11.68687877,,,,,,,,,
7.545379179,4.931592087,4.55367266,11.69107165,,,,,,,,,
7.384951728,4.915591745,4.563238201,11.69190812,,,,,,,,,
7.049185394,4.893352133,4.585107265,11.68435458,,,,,,,,,
7.20880017,4.863680881,4.565254031,11.68687877,,,,,,,,,
7.154224656,4.84103251,4.525634433,11.68687877,,,,,,,,,
7.104160527,4.833102254,4.589132263,11.69357896,,,,,,,,,
7.20362871,4.852030264,4.5926633,11.68939661,,,,,,,,,
7.209103542,4.862908382,4.588333237,11.69441334,,,,,,,,,
7.193137208,4.850466542,4.627584107,11.70189156,,,,,,,,,
7.181956897,4.832305759,4.629065408,11.71259566,,,,,,,,,
6.996269693,4.81866736,4.611539856,11.72642264,,,,,,,,,
7.040492606,4.804840381,4.637869682,11.72480582,,,,,,,,,
7.011592635,4.798266816,4.593571177,11.72075231,,,,,,,,,
7.014365014,4.81462041,4.623768166,11.7166823,,,,,,,,,
7.071666738,4.826712456,4.612730534,11.72561456,,,,,,,,,
7.061754519,4.819474789,4.59247798,11.70766954,,,,,,,,,
7.025102664,4.825108606,4.66865096,11.70849225,,,,,,,,,
7.096439882,4.829113417,4.719181674,11.70602209,,,,,,,,,
7.090909822,4.830710862,4.667566414,11.70271904,,,,,,,,,
7.018732989,4.828313737,4.639243056,11.70354582,,,,,,,,,
7.015945786,4.805659047,4.683277792,11.6969123,,,,,,,,,
7.016259847,4.798266816,4.654766692,11.69274389,,,,,,,,,
7.04143791,4.796616651,4.712510441,11.6977439,,,,,,,,,
6.964645879,4.784988613,4.688131707,11.69940503,,,,,,,,,
6.972849895,4.786658062,4.701931131,11.69608001,,,,,,,,,
6.94828283,4.785823686,4.711129822,11.70106341,,,,,,,,,
6.997340009,4.780802755,4.681515297,11.70023456,,,,,,,,,
7.099697079,4.780802755,4.657683885,11.69441334,,,,,,,,,
7.124429952,4.777441407,4.69785237,11.69940503,,,,,,,,,
7.222792271,4.781641329,4.679333799,11.69857481,,,,,,,,,
7.276549487,4.797442074,4.658849332,11.69857481,,,,,,,,,
7.314666008,4.799090879,4.731837198,11.70271904,,,,,,,,,
7.419997898,4.803201036,4.676358113,11.69608001,,,,,,,,,
7.457401536,4.810557016,4.629333878,11.70271904,,,,,,,,,
7.465598068,4.815431111,4.669302062,11.70354582,,,,,,,,,
7.53669455,4.833898116,4.657057454,11.71095632,,,,,,,,,
7.644512564,4.856706812,4.703754998,11.70602209,,,,,,,,,
7.674854348,4.868303386,4.686487466,11.70684616,,,,,,,,,
7.613458304,4.858260814,4.662441427,11.70354582,,,,,,,,,
7.686524956,4.865224091,4.683813145,11.6977439,,,,,,,,,
7.693960104,4.870606649,4.653743184,11.70602209,,,,,,,,,
7.618324805,4.848116365,4.61466893,11.70602209,,,,,,,,,
7.624711755,4.844974178,4.694002155,11.70106341,,,,,,,,,
7.557305786,4.838660029,4.657379261,11.70766954,,,,,,,,,
7.419830122,4.825108606,4.660570834,11.71095632,,,,,,,,,
7.500905313,4.820281566,4.663637188,11.71259566,,,,,,,,,
7.371709397,4.792479284,4.666629283,11.70931428,,,,,,,,,
7.265038038,4.765586907,4.67917501,11.71177632,,,,,,,,,
7.14145096,4.746669748,4.702742351,11.70106341,,,,,,,,,
7.085583422,4.73532087,4.662397986,11.69857481,,,,,,,,,
7.082095066,4.730921391,4.706196724,11.6977439,,,,,,,,,
7.074260752,4.714024591,4.782738799,11.69441334,,,,,,,,,
7.111406075,4.712229258,4.693108716,11.6977439,,,,,,,,,
7.12219708,4.709530201,4.717585061,11.6977439,,,,,,,,,
6.853605277,4.708628894,4.701482591,11.69524702,,,,,,,,,
7.070902511,4.716711561,4.68947365,11.69441334,,,,,,,,,
7.129185363,4.713127327,4.67913229,11.68855803,,,,,,,,,
7.254955479,4.721173862,4.69900018,11.68687877,,,,,,,,,
7.093994153,4.722063937,4.700007527,11.68939661,,,,,,,,,
7.127171894,4.727387819,4.704454278,11.68939661,,,,,,,,,
7.19715837,4.728272383,4.667339027,11.68266824,,,,,,,,,
7.16765497,4.722953222,4.641552259,11.68097905,,,,,,,,,
7.16799421,4.727387819,4.635939905,11.679287,,,,,,,,,
7.034960453,4.744932128,4.629220641,11.66392834,,,,,,,,,
7.237878834,4.755312844,4.593998009,11.67674355,,,,,,,,,
7.22276308,4.757032535,4.628655241,11.67419361,,,,,,,,,
7.427851795,4.781641329,4.618153536,11.67419361,,,,,,,,,
7.463265508,4.795790546,4.646951081,11.66992921,,,,,,,,,
7.35734572,4.810557016,4.610748598,11.66992921,,,,,,,,,
7.361000518,4.810557016,4.587544767,11.66992921,,,,,,,,,
7.359779493,4.808927024,4.588348491,11.67334219,,,,,,,,,
7.407032476,4.80073697,4.601256538,11.67163716,,,,,,,,,
7.470696959,4.816241156,4.568531098,11.66907415,,,,,,,,,
7.639897186,4.839451482,4.601177225,11.66650455,,,,,,,,,
7.675137566,4.856706812,4.63245164,11.66392834,,,,,,,,,
7.6500021,4.859812404,4.576296319,11.66992921,,,,,,,,,
7.539223845,4.852030264,4.59888246,11.68687877,,,,,,,,,
7.808566824,4.865224091,4.616676731,11.67759209,,,,,,,,,
7.776530834,4.885072071,4.627985916,11.68855803,,,,,,,,,
7.641276354,4.902307417,4.664526239,11.68435458,,,,,,,,,
7.604466102,4.915591745,4.660919886,11.68687877,,,,,,,,,
7.726949036,4.960744524,4.692048554,11.68855803,,,,,,,,,
7.682689798,4.974662634,4.651514504,11.70106341,,,,,,,,,
7.633882587,4.942356453,4.660707064,11.69857481,,,,,,,,,
7.569545942,4.926528785,4.658722327,11.69107165,,,,,,,,,
7.578043165,4.919250732,4.702502865,11.69441334,,,,,,,,,
7.539840555,4.917788744,4.652933156,11.69608001,,,,,,,,,
7.421045862,4.903792198,4.696130008,11.70271904,,,,,,,,,
7.326906306,4.894850261,4.681725589,11.71504965,,,,,,,,,
7.142408341,4.891100725,4.650810633,11.7166823,,,,,,,,,
7.24062102,4.892602227,4.624845354,11.72156433,,,,,,,,,
7.284361273,4.894850261,4.634448366,11.72237569,,,,,,,,,
7.274431048,4.899331225,4.602857514,11.7191263,,,,,,,,,
7.155310428,4.886582645,4.623511943,11.71749763,,,,,,,,,
6.988828225,4.874433673,4.60627058,11.72156433,,,,,,,,,
7.060553616,4.872139217,4.608322213,11.71095632,,,,,,,,,
7.008025863,4.854371272,4.626749665,11.71095632,,,,,,,,,
6.839744068,4.849683763,4.630396315,11.70684616,,,,,,,,,
6.963823655,4.84103251,4.600218949,11.69857481,,,,,,,,,
7.05543363,4.831508628,4.606756926,11.70519735,,,,,,,,,
7.012061239,4.832305759,4.621977154,11.71259566,,,,,,,,,
7.059179388,4.836281907,4.627097026,11.70106341,,,,,,,,,
6.750294126,4.812997033,4.53790475,11.6969123,,,,,,,,,
6.726209421,4.801559,4.600731349,11.70437193,,,,,,,,,
6.095486668,4.750135956,4.336643473,11.6500753,,,,,,,,,
6.211764058,4.712229258,4.311083649,11.62536089,,,,,,,,,
6.484833689,4.708628894,4.388408726,11.6351431,,,,,,,,,
6.508277213,4.727387819,4.513432019,11.63691144,,,,,,,,,
6.68039033,4.754451889,4.49499588,11.61728548,,,,,,,,,
6.821543582,4.790819533,4.56748701,11.61457912,,,,,,,,,
6.582495942,4.794136286,4.622971793,11.62714661,,,,,,,,,
6.748267046,4.804021045,4.668329945,11.63337162,,,,,,,,,
7.126834582,4.845760651,4.495348624,11.61998454,,,,,,,,,
7.152386312,4.874433673,4.531382624,11.61638417,,,,,,,,,
7.015559806,4.886582645,4.594543927,11.61095921,,,,,,,,,
7.229614115,4.911919321,4.561789713,11.62088261,,,,,,,,,
7.354311145,4.96284463,4.685066729,11.61908566,,,,,,,,,
7.481719069,5.007965066,4.571593754,11.6307085,,,,,,,,,
7.589796011,5.036303041,4.533046705,11.64131868,,,,,,,,,
7.503008445,5.042037057,4.549961869,11.65615963,,,,,,,,,
7.537872134,5.076516663,4.569369936,11.65355659,,,,,,,,,
7.616042272,5.116747527,4.513642444,11.65268741,,,,,,,,,
7.644105617,5.159331123,4.565782579,11.66736182,,,,,,,,,
7.572538993,5.160697628,4.59826943,11.66907415,,,,,,,,,
7.492119427,5.104077063,4.585634603,11.67589429,,,,,,,,,
7.768381069,5.151677576,4.576133677,11.66306812,,,,,,,,,
7.726446412,5.224778463,4.590504164,11.66736182,,,,,,,,,
7.948346429,5.24443124,4.572306027,11.67078355,,,,,,,,,
8.03667043,5.278803198,4.573144804,11.66992921,,,,,,,,,
7.77783033,5.233890839,4.594973375,11.68013338,,,,,,,,,
7.741507525,5.175465883,4.608882288,11.69190812,,,,,,,,,
7.485671165,5.124243702,4.622299636,11.69608001,,,,,,,,,
7.547812816,5.092307443,4.552154356,11.6969123,,,,,,,,,
7.494891733,5.075248812,4.532832799,11.70684616,,,,,,,,,
7.256353695,5.040996363,4.604970166,11.70766954,,,,,,,,,
7.3674497,5.038633008,4.500392834,11.70519735,,,,,,,,,
7.527320503,5.049868828,4.414579736,11.71341433,,,,,,,,,
7.421518584,5.071448133,4.504791684,11.70519735,,,,,,,,,
7.61464263,5.088521833,4.534246523,11.70602209,,,,,,,,,
7.589644324,5.086243569,4.501761098,11.71586631,,,,,,,,,
7.424517248,5.067569979,4.616328698,11.71095632,,,,,,,,,
7.318579336,5.071655132,4.482986733,11.70684616,,,,,,,,,
7.277482668,5.058688679,4.517440005,11.71831229,,,,,,,,,
7.328397956,5.043108938,4.475161723,11.72075231,,,,,,,,,
7.359251192,5.038898759,4.498564451,11.72642264,,,,,,,,,
7.292616239,5.029692546,4.562601876,11.72480582,,,,,,,,,
7.218997616,5.02551077,4.414273568,11.72803684,,,,,,,,,
7.060184478,5.022089444,4.496258929,11.72561456,,,,,,,,,
7.167423605,5.01746525,4.538401981,11.72561456,,,,,,,,,
7.357492423,5.012194079,4.507582715,11.71586631,,,,,,,,,
7.255181586,5.013723853,4.506679353,11.70931428,,,,,,,,,
7.21309798,5.010201867,4.543690449,11.70354582,,,,,,,,,
7.435113483,5.019304276,4.516335694,11.71095632,,,,,,,,,
7.448642491,5.05987615,4.61971194,11.70437193,,,,,,,,,
7.646305943,5.082031497,4.482835306,11.7166823,,,,,,,,,
7.547633531,5.085736582,4.494988065,11.71259566,,,,,,,,,
7.337991045,5.061917588,4.623690619,11.7191263,,,,,,,,,
7.295375442,5.055111404,4.570475216,11.71177632,,,,,,,,,
7.527121357,5.072889959,4.528065575,11.70684616,,,,,,,,,
7.564964353,5.093860624,4.534486958,11.70189156,,,,,,,,,
7.690596901,5.100811103,4.486875269,11.70931428,,,,,,,,,
7.506789563,5.10083547,4.508694527,11.70106341,,,,,,,,,
7.419398568,5.113528769,4.518629244,11.70931428,,,,,,,,,
7.349340143,5.15983086,4.537534607,11.7191263,,,,,,,,,
